fecha,libreta,orden,hembrasContadas,machosContados,hembrasXgrupo,referencia,playa,lon0,lat0,tipo
2002-10-03,01,3,12,1,12,HAREN,#SJBA,-64.3692,-42.23563,PVALDES
2002-10-03,01,5,4,1,4,HAREN,#SJBA,-64.36448,-42.23475,PVALDES
2002-10-03,01,6,15,1,15,HAREN,#SJBA,-64.36125,-42.23412,PVALDES
2002-10-03,25,2,4,1,4,HAREN,#SJBA,-64.371,-42.23717,PVALDES
2002-10-03,01,11,13,1,13,HAREN,#BABB,-64.29927,-42.22248,PVALDES
2002-10-03,01,12,26,1,26,HAREN,#BABB,-64.28505,-42.22102,PVALDES
2002-10-03,01,14,2,1,2,HAREN,#BABB,-64.27525,-42.21942,PVALDES
2002-10-03,01,15,7,1,7,HAREN,#BABB,-64.26188,-42.21837,PVALDES
2002-10-03,02,27,23,1,23,HAREN,#BABB,-64.24605,-42.21594,PVALDES
2002-10-03,02,28,8,1,8,HAREN,#BABB,-64.2628,-42.21658,PVALDES
2002-10-03,02,1,32,1,32,HAREN,#BBSO,-64.15678,-42.19911,PVALDES
2002-10-03,02,9,13,1,13,HAREN,#BBSO,-64.18256,-42.20358,PVALDES
2002-10-03,02,10,15,1,15,HAREN,#BBSO,-64.18375,-42.20367,PVALDES
2002-10-03,02,13,4,0,4,"HAREN SIN ALFA",#BBSO,-64.18939,-42.20468,PVALDES
2002-10-03,02,14,12,1,12,HAREN,#BBSO,-64.19503,-42.20569,PVALDES
2002-10-03,02,15,7,1,7,HAREN,#BBSO,-64.20156,-42.20711,PVALDES
2002-10-03,02,17,15,1,15,HAREN,#BBSO,-64.20883,-42.20817,PVALDES
2002-10-03,02,18,2,0,2,"HAREN SIN ALFA",#BBSO,-64.21151,-42.20878,PVALDES
2002-10-03,02,19,23,1,23,HAREN,#BBSO,-64.21419,-42.20939,PVALDES
2002-10-03,02,20,8,0,8,"HAREN SIN ALFA",#BBSO,-64.21515,-42.20957,PVALDES
